Unnamed: 0,name,process,Al,Cu,Mn,N,Ni,Ti,S,Fe,Zr,P,Si,V,Mo,Co,C,Nb,B,Cr,ultimate_tensile,yield,ductility
0,AISI 4023 Steel," normalized at 925°C (1700°F), machined to 25 mm (1 in.) rounds, pseudocarburized at 925°C (1700°F), box cooled to RT, reheated to 800°C (1470°F) and oil quenched, 150°C (300°F) temper",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.4,0.0,0.035,0.25,0.0,0.25,0.0,0.225,0.0,0.0,0.0,745,440,21
1,AISI 4027 Steel," water quenched 865°C (1590°F), 540°C (1000°F) temper, 100 mm (4 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.35,0.0,0.035,0.25,0.0,0.25,0.0,0.275,0.0,0.0,0.0,689,510,25
2,AISI 4027 Steel," water quenched 865°C (1590°F), 480°C (900°F) temper, 50 mm (2 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.35,0.0,0.035,0.25,0.0,0.25,0.0,0.275,0.0,0.0,0.0,786,615,22
3,AISI 4027 Steel," water quenched 865°C (1590°F), 480°C (900°F) temper, 25 mm (1 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.35,0.0,0.035,0.25,0.0,0.25,0.0,0.275,0.0,0.0,0.0,1035,917,16
4,AISI 4027 Steel," water quenched 865°C (1590°F), 595°C (1100°F) temper, 50 mm (2 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.35,0.0,0.035,0.25,0.0,0.25,0.0,0.275,0.0,0.0,0.0,717,550,24
5,AISI 4027 Steel," water quenched 865°C (1590°F), 480°C (900°F) temper, 100 mm (4 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.35,0.0,0.035,0.25,0.0,0.25,0.0,0.275,0.0,0.0,0.0,696,540,25
7,AISI 4023 Steel," normalized at 925°C (1700°F), machined to 13.7 mm (0.540 in.) rounds, pseudocarburized at 925°C (1700°F), box cooled to RT, reheated to 775°C (1430°F) and oil quenched, 150°C (300°F) temper",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.4,0.0,0.035,0.25,0.0,0.25,0.0,0.225,0.0,0.0,0.0,931,620,14
8,AISI 4027 Steel," normalized, 25 mm (1 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.35,0.0,0.035,0.25,0.0,0.25,0.0,0.275,0.0,0.0,0.0,640,420,25
9,AISI 4118 Steel," normalized at 910°C (1670°F), air cooled, 100 mm (4 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,521,341,34
10,AISI 4118H Steel," normalized at 910°C (1670°F), air cooled, 50 mm (2 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.085,0.0,0.035,0.22499999999999998,0.0,0.11499999999999999,0.0,0.2,0.0,0.0,0.5,534,376,34
11,AISI 4118 Steel," mock carburized at 925°C (1700°F) for 8 hours, reheated to 830°C (1525°F), oil quenched, 150°C (300°F) temper, 230°C (450°F) temper, 25 mm (1 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,793,441,22
12,AISI 4130 Steel," water quenched 855°C (1570°F), 595°C (1100°F) temper, 13 mm (0.5 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.745,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.30500000000000005,0.0,0.0,0.9500000000000001,917,841,20
13,AISI 4118 Steel," direct quenched from pot, carburized, 150°C (300°F) temper",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,1225,903,9
14,AISI 4118 Steel," mock carburized at 925°C (1700°F) for 8 hours, reheated to 830°C (1525°F), oil quenched, 150°C (300°F) temper, 150°C (300°F) temper, 100 mm (4 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,641,300,28
15,AISI 4130 Steel," water quenched 855°C (1570°F), 480°C (900°F) temper, 100 mm (4 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.745,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.30500000000000005,0.0,0.0,0.9500000000000001,841,655,20
